user_id,full_name,phone_number,email,city,registration_date,status,created_at
U000001,User 000001,089697354961,user000001@example.com,Semarang,2024-06-21,ACTIVE,2024-06-21 22:43:23
U000002,User 000002,081958682846,user000002@example.com,Bandung,2025-01-15,INACTIVE,2025-01-15 10:13:48
U000003,User 000003,089963334018,user000003@example.com,Yogyakarta,2026-04-27,ACTIVE,2026-04-27 04:44:17
U000004,User 000004,081127978094,user000004@example.com,Medan,2024-02-19,ACTIVE,2024-02-19 08:56:39
U000005,User 000005,089703905715,user000005@example.com,Medan,2024-12-27,ACTIVE,2024-12-27 10:13:36
U000006,User 000006,082801823908,user000006@example.com,Denpasar,2026-04-26,ACTIVE,2026-04-26 12:53:27
U000007,User 000007,084733616459,user000007@example.com,Surabaya,2026-07-04,ACTIVE,2026-07-04 09:25:01
U000008,User 000008,086756332150,user000008@example.com,Surabaya,2025-10-18,ACTIVE,2025-10-18 12:12:24
U000009,User 000009,082445662585,user000009@example.com,Bandung,2024-11-30,ACTIVE,2024-11-30 11:28:43
U000010,User 000010,085710360983,user000010@example.com,Makassar,2025-08-13,ACTIVE,2025-08-13 04:42:59
U000011,User 000011,089776552803,user000011@example.com,Denpasar,2026-07-26,ACTIVE,2026-07-26 20:32:16
U000012,User 000012,089256195745,user000012@example.com,Bandung,2026-04-13,INACTIVE,2026-04-13 00:01:56
U000013,User 000013,081298737106,user000013@example.com,Medan,2026-05-07,ACTIVE,2026-05-07 13:33:59
U000014,User 000014,085231494220,user000014@example.com,Medan,2025-03-25,ACTIVE,2025-03-25 13:09:54
U000015,User 000015,086927597015,user000015@example.com,Denpasar,2024-06-05,ACTIVE,2024-06-05 21:36:22
U000016,User 000016,085993561321,user000016@example.com,Makassar,2025-07-20,ACTIVE,2025-07-20 17:55:46
U000017,User 000017,088173347748,user000017@example.com,Bandung,2024-11-21,ACTIVE,2024-11-21 10:59:17
U000018,User 000018,083727210979,user000018@example.com,Palembang,2026-08-04,ACTIVE,2026-08-04 06:02:59
U000019,User 000019,085996775663,user000019@example.com,Yogyakarta,2025-01-15,ACTIVE,2025-01-15 07:12:46
U000020,User 000020,083392080953,user000020@example.com,Makassar,2025-02-23,ACTIVE,2025-02-23 08:23:03
U000021,User 000021,086649827836,user000021@example.com,Semarang,2024-03-27,ACTIVE,2024-03-27 21:31:04
U000022,User 000022,082351531223,user000022@example.com,Denpasar,2024-04-12,ACTIVE,2024-04-12 19:41:24
U000023,User 000023,088055995058,user000023@example.com,Surabaya,2025-09-06,ACTIVE,2025-09-06 14:13:34
U000024,User 000024,081599707677,user000024@example.com,Palembang,2025-02-15,ACTIVE,2025-02-15 11:26:54
U000025,User 000025,087805745017,user000025@example.com,Tangerang,2026-04-17,ACTIVE,2026-04-17 06:31:47
U000026,User 000026,082554762903,user000026@example.com,Surabaya,2025-09-12,ACTIVE,2025-09-12 10:43:48
U000027,User 000027,083119634399,user000027@example.com,Jakarta,2026-03-02,ACTIVE,2026-03-02 12:31:01
U000028,User 000028,088217611860,user000028@example.com,Tangerang,2024-06-19,ACTIVE,2024-06-19 08:00:57
U000029,User 000029,086947530309,user000029@example.com,Tangerang,2024-04-08,ACTIVE,2024-04-08 16:29:04
U000030,User 000030,087567496105,user000030@example.com,Palembang,2025-12-28,ACTIVE,2025-12-28 02:09:52
U000031,User 000031,088519962896,user000031@example.com,Makassar,2024-01-18,ACTIVE,2024-01-18 20:02:36
U000032,User 000032,086555540744,user000032@example.com,Surabaya,2024-06-22,ACTIVE,2024-06-22 06:57:59
U000033,User 000033,088385972235,user000033@example.com,Palembang,2025-12-05,ACTIVE,2025-12-05 20:02:45
U000034,User 000034,087980611182,user000034@example.com,Palembang,2024-10-04,INACTIVE,2024-10-04 12:37:29
U000035,User 000035,081854316681,user000035@example.com,Makassar,2026-08-04,INACTIVE,2026-08-04 00:03:18
U000036,User 000036,089592390865,user000036@example.com,Makassar,2024-09-07,ACTIVE,2024-09-07 22:59:04
U000037,User 000037,081083651970,user000037@example.com,Makassar,2026-01-29,ACTIVE,2026-01-29 00:32:28
U000038,User 000038,082028439863,user000038@example.com,Medan,2025-04-22,ACTIVE,2025-04-22 16:57:27
U000039,User 000039,085067116918,user000039@example.com,Bandung,2026-05-31,ACTIVE,2026-05-31 08:35:59
U000040,User 000040,084504793184,user000040@example.com,Palembang,2026-01-24,ACTIVE,2026-01-24 23:02:15
U000041,User 000041,083361388464,user000041@example.com,Semarang,2024-07-14,ACTIVE,2024-07-14 08:41:30
U000042,User 000042,086633778586,user000042@example.com,Makassar,2026-03-30,ACTIVE,2026-03-30 17:06:16
U000043,User 000043,082939118223,user000043@example.com,Medan,2025-11-11,ACTIVE,2025-11-11 13:33:17
U000044,User 000044,085569956444,user000044@example.com,Jakarta,2024-12-15,INACTIVE,2024-12-15 01:19:26
U000045,User 000045,083379074819,user000045@example.com,Tangerang,2026-07-02,ACTIVE,2026-07-02 21:44:19
U000046,User 000046,081030884438,user000046@example.com,Jakarta,2024-12-08,ACTIVE,2024-12-08 02:17:57
U000047,User 000047,082419179580,user000047@example.com,Palembang,2024-12-21,ACTIVE,2024-12-21 15:34:06
